"","Status_Checking_Acc","Duration_in_Months","Credit_History","Purposre_Credit_Taken","Credit_Amount","Savings_Acc","Years_At_Present_Employment","Inst_Rt_Income","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Property","Age","Other_Inst_Plans","Housing","Num_CC","Job","Dependents","Telephone","Foreign_Worker","Default_On_Payment","predclass"
"3","A14",12,"A34","A46",2096,"A61","A74","2","A93","A101","3","A121",49,"A143","A152","1","A172","2","A191","A201","0",0
"9","A14",12,"A32","A43",3059,"A64","A74","2","A91","A101","4","A121",61,"A143","A152","1","A172","1","A191","A201","0",0
"15","A11",15,"A32","A40",1403,"A61","A73","2","A92","A101","4","A123",28,"A143","A151","1","A173","1","A191","A201","0",1
"26","A11",6,"A32","A42",1374,"A61","A73","1","A93","A101","2","A121",36,"A141","A152","1","A172","1","A192","A201","0",1
"34","A14",12,"A34","A49",1264,"A65","A75","4","A93","A101","4","A124",57,"A143","A151","1","A172","1","A191","A201","0",0
"44","A11",30,"A34","A41",6187,"A62","A74","1","A94","A101","4","A123",24,"A143","A151","2","A173","1","A191","A201","0",0
"56","A14",6,"A31","A40",783,"A65","A73","1","A93","A103","2","A121",26,"A142","A152","1","A172","2","A191","A201","0",0
"64","A12",48,"A30","A49",12000,"A61","A73","2","A93","A101","2","A123",25,"A143","A152","1","A173","1","A192","A201","1",1
"66","A14",27,"A32","A45",5190,"A65","A75","4","A93","A101","4","A122",48,"A143","A152","4","A173","2","A192","A201","0",0
"69","A14",36,"A32","A46",1819,"A61","A73","4","A93","A101","4","A124",37,"A142","A153","1","A173","1","A192","A201","1",1
"73","A11",8,"A34","A410",1164,"A61","A75","3","A93","A101","4","A124",51,"A141","A153","2","A174","2","A192","A201","0",0
"74","A12",42,"A34","A49",5954,"A61","A74","2","A92","A101","1","A121",41,"A141","A152","2","A172","1","A191","A201","0",1
"75","A11",36,"A32","A46",1977,"A65","A75","4","A93","A101","4","A124",40,"A143","A152","1","A174","1","A192","A201","1",1
"78","A12",11,"A33","A43",4771,"A61","A74","2","A93","A101","4","A122",51,"A143","A152","1","A173","1","A191","A201","0",0
"80","A12",30,"A32","A42",3832,"A61","A72","2","A94","A101","1","A122",22,"A143","A152","1","A173","1","A191","A201","0",1
"82","A14",15,"A32","A43",1213,"A63","A75","4","A93","A101","3","A122",47,"A142","A152","1","A173","1","A192","A201","0",0
"86","A14",12,"A34","A49",1412,"A61","A73","4","A92","A103","2","A121",29,"A143","A152","2","A174","1","A192","A201","0",0
"91","A14",12,"A34","A43",618,"A61","A75","4","A93","A101","4","A121",56,"A143","A152","1","A173","1","A191","A201","0",0
"93","A14",12,"A34","A43",797,"A65","A75","4","A92","A101","3","A122",33,"A141","A152","1","A172","2","A191","A201","1",0
"94","A13",24,"A34","A42",3617,"A65","A75","4","A93","A102","4","A124",20,"A143","A151","2","A173","1","A191","A201","0",0
"103","A14",6,"A33","A43",932,"A61","A73","3","A92","A101","2","A121",24,"A143","A152","1","A173","1","A191","A201","0",0
"111","A12",6,"A33","A49",1449,"A62","A75","1","A91","A101","2","A123",31,"A141","A152","2","A173","2","A191","A201","0",1
"113","A12",18,"A32","A40",6260,"A61","A74","3","A93","A101","3","A121",28,"A143","A151","1","A172","1","A191","A201","0",1
"114","A14",36,"A34","A40",7855,"A61","A73","4","A92","A101","2","A121",25,"A142","A152","2","A173","1","A192","A201","1",1
"117","A11",42,"A32","A43",7174,"A65","A74","4","A92","A101","3","A123",30,"A143","A152","1","A174","1","A192","A201","1",1
"118","A11",10,"A34","A42",2132,"A65","A72","2","A92","A102","3","A121",27,"A143","A151","2","A173","1","A191","A202","0",0
"119","A11",33,"A34","A42",4281,"A63","A73","1","A92","A101","4","A123",23,"A143","A152","2","A173","1","A191","A201","1",1
"120","A12",12,"A34","A40",2366,"A63","A74","3","A91","A101","3","A123",36,"A143","A152","1","A174","1","A192","A201","0",0
"123","A14",12,"A32","A42",1768,"A61","A73","3","A93","A101","2","A121",24,"A143","A151","1","A172","1","A191","A201","0",0
"127","A11",12,"A32","A43",701,"A61","A73","4","A94","A101","2","A121",40,"A143","A152","1","A172","1","A191","A201","0",1
"131","A12",48,"A32","A40",8487,"A65","A74","1","A92","A101","2","A123",24,"A143","A152","1","A173","1","A191","A201","0",1
"135","A14",60,"A32","A43",10144,"A62","A74","2","A92","A101","4","A121",21,"A143","A152","1","A173","1","A192","A201","0",1
"137","A14",27,"A33","A41",8613,"A64","A73","2","A93","A101","2","A123",27,"A143","A152","2","A173","1","A191","A201","0",0
"140","A13",12,"A32","A43",1881,"A61","A73","2","A92","A101","2","A123",44,"A143","A151","1","A172","1","A192","A201","0",0
"141","A13",6,"A32","A40",709,"A64","A72","2","A94","A101","2","A121",27,"A143","A152","1","A171","1","A191","A202","0",0
"143","A11",27,"A32","A43",3416,"A61","A73","3","A93","A101","2","A123",27,"A143","A152","1","A174","1","A191","A201","0",1
"144","A11",18,"A32","A42",2462,"A61","A73","2","A93","A101","2","A123",22,"A143","A152","1","A173","1","A191","A201","1",1
"146","A12",48,"A31","A49",3566,"A62","A74","4","A93","A101","2","A123",30,"A143","A152","1","A173","1","A191","A201","0",1
"148","A14",12,"A34","A40",682,"A62","A74","4","A92","A101","3","A123",51,"A143","A152","2","A173","1","A192","A201","0",0
"152","A14",10,"A32","A43",1924,"A61","A73","1","A93","A101","4","A122",38,"A143","A152","1","A173","1","A192","A202","0",0
"154","A12",24,"A34","A41",7758,"A64","A75","2","A92","A101","4","A124",29,"A143","A151","1","A173","1","A191","A201","0",0
"171","A11",15,"A30","A40",950,"A61","A75","4","A93","A101","3","A123",33,"A143","A151","2","A173","2","A191","A201","1",1
"175","A11",21,"A33","A46",3414,"A61","A72","2","A93","A101","1","A122",26,"A143","A152","2","A173","1","A191","A201","1",1
"180","A11",21,"A34","A40",571,"A61","A75","4","A93","A101","4","A121",65,"A143","A152","2","A173","1","A191","A201","0",1
"186","A14",15,"A34","A43",1360,"A61","A73","4","A93","A101","2","A122",31,"A143","A152","2","A173","1","A191","A201","0",0
"188","A12",16,"A34","A40",1175,"A61","A71","2","A93","A101","3","A123",68,"A143","A153","3","A171","1","A192","A201","0",0
"189","A11",12,"A32","A43",674,"A62","A74","4","A94","A101","1","A122",20,"A143","A152","1","A173","1","A191","A201","1",0
"192","A12",48,"A30","A49",3844,"A62","A74","4","A93","A101","4","A124",34,"A143","A153","1","A172","2","A191","A201","1",1
"195","A12",45,"A32","A43",3031,"A62","A73","4","A93","A103","4","A122",21,"A143","A151","1","A173","1","A191","A201","1",1
"197","A14",6,"A34","A43",1382,"A61","A73","1","A92","A101","1","A123",28,"A143","A152","2","A173","1","A192","A201","0",0
"204","A11",12,"A32","A48",902,"A61","A74","4","A94","A101","4","A122",21,"A143","A151","1","A173","1","A191","A201","1",1
"205","A14",12,"A34","A40",1495,"A61","A75","4","A93","A101","1","A121",38,"A143","A152","2","A172","2","A191","A201","0",0
"211","A14",9,"A34","A43",3074,"A65","A73","1","A93","A101","2","A121",33,"A143","A152","2","A173","2","A191","A201","0",0
"213","A11",27,"A30","A49",5293,"A61","A71","2","A93","A101","4","A122",50,"A142","A152","2","A173","1","A192","A201","1",1
"214","A13",30,"A33","A49",1908,"A61","A75","4","A93","A101","4","A121",66,"A143","A152","1","A174","1","A192","A201","1",0
"219","A11",24,"A32","A42",3021,"A61","A73","2","A91","A101","2","A121",24,"A143","A151","1","A172","1","A191","A201","0",1
"221","A12",12,"A32","A43",625,"A61","A72","4","A94","A103","1","A121",26,"A141","A152","1","A172","1","A191","A201","0",1
"222","A11",12,"A32","A46",1200,"A65","A73","4","A92","A101","4","A122",23,"A141","A151","1","A173","1","A192","A201","0",1
"224","A14",24,"A33","A49",2978,"A65","A73","4","A93","A101","4","A121",32,"A143","A152","2","A173","2","A192","A201","0",0
"225","A14",15,"A32","A41",4657,"A61","A73","3","A93","A101","2","A123",30,"A143","A152","1","A173","1","A192","A201","0",0
"226","A14",36,"A30","A45",2613,"A61","A73","4","A93","A101","2","A123",27,"A143","A152","2","A173","1","A191","A201","0",1
"228","A11",12,"A32","A42",7865,"A61","A75","4","A93","A101","4","A124",53,"A143","A153","1","A174","1","A192","A201","1",1
"230","A11",24,"A32","A42",3149,"A61","A72","4","A93","A101","1","A124",22,"A141","A153","1","A173","1","A191","A201","0",1
"232","A14",9,"A32","A40",2507,"A63","A75","2","A93","A101","4","A124",51,"A143","A153","1","A172","1","A191","A201","0",0
"233","A14",12,"A32","A43",2141,"A62","A74","3","A93","A101","1","A124",35,"A143","A152","1","A173","1","A191","A201","0",0
"238","A12",21,"A32","A49",2767,"A62","A75","4","A91","A101","2","A123",61,"A141","A151","2","A172","1","A191","A201","1",1
"239","A14",12,"A34","A43",1291,"A61","A73","4","A92","A101","2","A122",35,"A143","A152","2","A173","1","A191","A201","0",0
"241","A11",24,"A32","A40",915,"A65","A75","4","A92","A101","2","A123",29,"A141","A152","1","A173","1","A191","A201","1",1
"246","A14",24,"A32","A49",1258,"A61","A74","4","A93","A101","1","A121",25,"A143","A152","1","A173","1","A192","A201","0",0
"248","A14",6,"A30","A40",1204,"A62","A73","4","A93","A101","1","A124",35,"A141","A151","1","A173","1","A191","A202","0",0
"249","A13",24,"A32","A42",1925,"A61","A73","2","A93","A101","2","A121",26,"A143","A152","1","A173","1","A191","A201","0",0
"251","A11",6,"A34","A40",666,"A64","A74","3","A92","A101","4","A121",39,"A143","A152","2","A172","1","A192","A201","0",0
"253","A12",30,"A32","A40",2150,"A61","A73","4","A92","A103","2","A124",24,"A141","A152","1","A173","1","A191","A201","1",1
"268","A14",24,"A32","A43",1533,"A61","A72","4","A92","A101","3","A123",38,"A142","A152","1","A173","1","A192","A201","0",0
"270","A14",24,"A32","A43",999,"A65","A75","4","A93","A101","2","A123",25,"A143","A152","2","A173","1","A191","A201","0",0
"276","A14",9,"A32","A43",2697,"A61","A73","1","A93","A101","2","A121",32,"A143","A152","1","A173","2","A191","A201","0",0
"280","A14",24,"A32","A43",1901,"A62","A73","4","A93","A101","4","A123",29,"A143","A151","1","A174","1","A192","A201","0",0
"282","A14",12,"A32","A42",1574,"A61","A73","4","A93","A101","2","A121",50,"A143","A152","1","A173","1","A191","A201","0",0
"283","A13",18,"A31","A43",1445,"A65","A74","4","A93","A101","4","A123",49,"A141","A152","1","A172","1","A191","A201","0",0
"287","A11",48,"A32","A41",4788,"A61","A74","4","A93","A101","3","A122",26,"A143","A152","1","A173","2","A191","A201","0",1
"289","A12",12,"A32","A43",1092,"A61","A73","4","A92","A103","4","A121",49,"A143","A152","2","A173","1","A192","A201","0",1
"294","A13",42,"A34","A41",4796,"A61","A75","4","A93","A101","4","A124",56,"A143","A153","1","A173","1","A191","A201","0",0
